Date,TCS.NS,INFY.NS,HDFCBANK.NS,RELIANCE.NS,ICICIBANK.NS
2017-12-22,1103.953125,417.57440185546875,437.8570251464844,406.5692138671875,304.1064453125
2017-12-26,1105.0791015625,416.0678405761719,435.9205017089844,410.72149658203125,305.5952453613281
2017-12-27,1092.753662109375,415.52545166015625,433.2140197753906,408.0490417480469,300.4563903808594
2017-12-28,1095.694091796875,415.12371826171875,438.1836853027344,408.2478332519531,302.85772705078125
2017-12-29,1126.6636962890625,418.6592712402344,436.8654479980469,406.8563537597656,301.6090393066406
2018-01-02,1097.4669189453125,413.69744873046875,436.8537292480469,402.4831848144531,297.47869873046875
2018-01-03,1100.5745849609375,410.3226318359375,432.2574157714844,404.0955505371094,302.569580078125
2018-01-04,1108.27001953125,407.95220947265625,433.9489440917969,406.52508544921875,302.28143310546875
2018-01-05,1121.658447265625,406.58612060546875,434.81219482421875,407.8281555175781,300.55242919921875
2018-01-08,1132.1697998046875,416.2486877441406,434.11224365234375,410.1693420410156,301.7531433105469
2018-01-09,1129.9169921875,418.37799072265625,434.8355712890625,415.64678955078125,300.2642822265625
2018-01-10,1170.626220703125,422.7572021484375,434.95220947265625,416.2652587890625,299.6879577636719
2018-01-11,1163.9107666015625,432.21881103515625,436.9004211425781,414.2332763671875,297.2866516113281
2018-01-12,1158.009033203125,433.283447265625,435.2088317871094,419.2027282714844,305.1629943847656
2018-01-15,1145.391845703125,434.3682556152344,442.780029296875,419.2689514160156,316.3052673339844
2018-01-16,1189.08251953125,451.1218566894531,443.3399353027344,407.6956787109375,320.9158935546875
2018-01-17,1204.9739990234375,462.8734436035156,441.0885314941406,408.38037109375,329.70477294921875
2018-01-18,1217.174072265625,463.1145324707031,451.307861328125,406.260009765625,332.4903259277344
2018-01-19,1234.31689453125,459.3981628417969,455.4842529296875,411.3841247558594,339.6463623046875
2018-01-22,1302.9246826171875,462.0297546386719,458.08575439453125,429.1416931152344,337.62921142578125
2018-01-23,1296.904541015625,472.91766357421875,455.2742614746094,434.3320617675781,348.0030517578125
2018-01-24,1327.2576904296875,476.4129638671875,456.7558288574219,426.8667907714844,338.8298645019531
2018-01-25,1304.869140625,472.23468017578125,460.792236328125,426.6679992675781,346.562255859375
2018-01-29,1337.395751953125,475.2477722167969,466.5552062988281,426.049560546875,343.5365295410156
2018-01-30,1318.1640625,470.3262634277344,465.5868835449219,419.8211669921875,339.31011962890625
2018-01-31,1301.2314453125,462.13018798828125,467.96673583984375,424.63604736328125,339.0220031738281
2018-02-01,1312.206298828125,459.8602294921875,464.5720520019531,416.9278259277344,332.5383605957031
2018-02-02,1318.49853515625,459.31787109375,454.50433349609375,399.47943115234375,321.87640380859375
2018-02-05,1297.4061279296875,457.2889404296875,446.5364074707031,398.5076599121094,316.68951416015625
2018-02-06,1253.1102294921875,445.05523681640625,442.55841064453125,394.0682678222656,317.6500244140625
2018-02-07,1235.466796875,445.57745361328125,436.958740234375,395.084228515625,319.427001953125
2018-02-08,1243.472900390625,455.701904296875,438.86029052734375,399.5678405761719,320.67572021484375
2018-02-09,1242.427490234375,445.6175842285156,431.5224304199219,396.6081848144531,313.85589599609375
2018-02-12,1240.587890625,443.0664367675781,437.8570251464844,404.4046936035156,313.3756408691406
